,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,71.84684684684684,2.2875219833219993,8.514326968051577,0.0104,True,0.2236,0.11936936936936937,False,0.4428,0.7845929,False
1,Androgynous,75.22522522522522,2.2875219833219993,8.514326968051577,0.3858,False,0.0898,0.12612612612612611,False,0.6136,0.78393596,False
2,Bigender,77.30337078651685,2.2875219833219993,8.514326968051577,0.87,False,0.9274,0.10112359550561797,False,0.671,0.78398263,False
3,Cisgender,76.62921348314606,2.2875219833219993,8.514326968051577,0.9068,False,0.0666,0.07640449438202247,False,0.3862,0.7846485,False
4,Demiboy,74.2663656884876,2.2875219833219993,8.514326968051577,0.1902,False,0.815,0.10609480812641084,False,0.51,0.78454363,False
5,Demigender,77.20090293453724,2.2875219833219993,8.514326968051577,0.911,False,0.8738,0.09932279909706546,False,0.6168,0.78393763,False
6,Demigirl,78.82882882882883,2.2875219833219993,8.514326968051577,0.3508,False,0.7552,0.09684684684684684,False,0.4312,0.78380454,False
7,Female,77.25225225225225,2.2875219833219993,8.514326968051577,0.9112,False,0.0728,0.07657657657657657,False,0.8804,0.7841221,False
8,Gender Nonconforming,77.47747747747748,2.2875219833219993,8.514326968051577,0.8118,False,0.8084,0.10585585585585586,False,0.9902,0.7841951,False
9,Genderfluid,77.42663656884876,2.2875219833219993,8.514326968051577,0.8314,False,0.2322,0.11963882618510158,False,0.9322,0.784153,False
10,Genderqueer,79.27927927927928,2.2875219833219993,8.514326968051577,0.2532,False,0.5236,0.09234234234234234,False,0.5964,0.78393096,False
11,Intersex,77.92792792792793,2.2875219833219993,8.514326968051577,0.6444,False,1.0,0.10135135135135136,False,0.8092,0.78432196,False
12,Male,72.74774774774775,2.2875219833219993,8.514326968051577,0.0322,True,0.0524,0.13063063063063063,False,0.532,0.78387314,False
13,Neutrois,77.92792792792793,2.2875219833219993,8.514326968051577,0.6536,False,0.8096,0.10585585585585586,False,0.6152,0.7844614,False
14,Non-Binary,78.15315315315316,2.2875219833219993,8.514326968051577,0.5738,False,0.411,0.09009009009009009,False,0.9408,0.7841625,False
15,Pangender,75.84650112866818,2.2875219833219993,8.514326968051577,0.6032,False,0.6952,0.10835214446952596,False,0.5278,0.7845344,False
16,Queer,80.36117381489842,2.2875219833219993,8.514326968051577,0.0788,False,0.2624,0.08577878103837472,False,0.1766,0.7834996,False
17,Third Gender,74.2663656884876,2.2875219833219993,8.514326968051577,0.186,False,0.0066,0.1399548532731377,True,0.747,0.7843777,False
18,Transgender,78.82882882882883,2.2875219833219993,8.514326968051577,0.3608,False,0.191,0.08333333333333333,False,0.8876,0.7842774,False
19,Two-Spirit,79.90970654627539,2.2875219833219993,8.514326968051577,0.1332,False,0.198,0.0835214446952596,False,0.3862,0.7846632,False
