,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,54.22222222222223,6.6076432007158346,28.888888888888886,0.7714,False,0.3268,0.06666666666666667,False,0.1488,0.7829928007390764,False
1,Androgynous,56.888888888888886,6.6076432007158346,28.888888888888886,0.4142,False,0.1788,0.06222222222222222,False,0.894,0.7823741049236721,False
2,Bigender,61.33333333333333,6.6076432007158346,28.888888888888886,0.003,True,0.2892,0.09333333333333334,False,0.123,0.781575986676746,False
3,Cisgender,52.22222222222223,6.6076432007158346,28.888888888888886,0.2534,False,0.0598,0.05555555555555555,False,0.4004,0.782708747651842,False
4,Demiboy,36.44444444444444,6.6076432007158346,28.888888888888886,0.0,True,0.0,0.17777777777777778,True,0.0912,0.7831189094649421,False
5,Demigender,49.111111111111114,6.6076432007158346,28.888888888888886,0.0098,True,0.4156,0.06888888888888889,False,0.9336,0.7822701250182258,False
6,Demigirl,47.77777777777778,6.6076432007158346,28.888888888888886,0.0026,True,0.8562,0.08222222222222222,False,0.276,0.7828295971287621,False
7,Female,50.44444444444445,6.6076432007158346,28.888888888888886,0.0484,True,0.0586,0.05555555555555555,False,0.9664,0.7822888215382894,False
8,Gender Nonconforming,61.33333333333333,6.6076432007158346,28.888888888888886,0.0048,True,0.7268,0.08444444444444445,False,0.5208,0.781998311943478,False
9,Genderfluid,55.55555555555556,6.6076432007158346,28.888888888888886,0.7954,False,0.0148,0.04888888888888889,True,0.8002,0.7824246630403731,False
10,Genderqueer,60.66666666666667,6.6076432007158346,28.888888888888886,0.0118,True,0.8586,0.08222222222222222,False,0.7018,0.782493325471878,False
11,Intersex,54.44444444444444,6.6076432007158346,28.888888888888886,0.8458,False,0.9206,0.07777777777777778,False,0.5774,0.7820443014303843,False
12,Male,48.888888888888886,6.6076432007158346,28.888888888888886,0.008,True,0.7826,0.07555555555555556,False,0.0222,0.7833867143260108,True
13,Neutrois,54.44444444444444,6.6076432007158346,28.888888888888886,0.8462,False,0.1316,0.06,False,0.5138,0.7819941981633505,False
14,Non-Binary,57.55555555555556,6.6076432007158346,28.888888888888886,0.2764,False,0.2408,0.06444444444444444,False,0.8808,0.782241096496582,False
15,Pangender,58.22222222222222,6.6076432007158346,28.888888888888886,0.1584,False,0.081,0.057777777777777775,False,0.1636,0.7816386143366496,False
16,Queer,65.33333333333333,6.6076432007158346,28.888888888888886,0.0,True,0.001,0.12,True,0.2354,0.7817450251844195,False
17,Third Gender,51.77777777777778,6.6076432007158346,28.888888888888886,0.1744,False,0.2492,0.06444444444444444,False,0.5642,0.7820246667332119,False
18,Transgender,62.0,6.6076432007158346,28.888888888888886,0.002,True,0.0462,0.10444444444444445,True,0.7816,0.7821780942545997,False
19,Two-Spirit,60.66666666666667,6.6076432007158346,28.888888888888886,0.0136,True,0.8632,0.08222222222222222,False,0.3274,0.7818362612194485,False
