,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,86.0,2.4412259513508894,11.333333333333329,0.4266,False,0.1158,0.008888888888888889,False,0.7776,0.7850437694125705,False
1,Androgynous,86.8888888888889,2.4412259513508894,11.333333333333329,0.8304,False,0.2198,0.011111111111111112,False,0.4518,0.784498425854577,False
2,Bigender,86.44444444444444,2.4412259513508894,11.333333333333329,0.6134,False,0.0196,0.0044444444444444444,True,0.2474,0.7842712681823306,False
3,Cisgender,85.33333333333334,2.4412259513508894,11.333333333333329,0.2134,False,1.0,0.02,False,0.4036,0.7853415388531155,False
4,Demiboy,87.1111111111111,2.4412259513508894,11.333333333333329,0.9462,False,0.0024,0.0,True,0.8,0.7847548051675161,False
5,Demigender,86.0,2.4412259513508894,11.333333333333329,0.4326,False,0.1162,0.008888888888888889,False,0.661,0.7851213526725769,False
6,Demigirl,89.11111111111111,2.4412259513508894,11.333333333333329,0.2386,False,1.0,0.02,False,0.6702,0.7846666502952576,False
7,Female,86.8888888888889,2.4412259513508894,11.333333333333329,0.8306,False,0.6108,0.015555555555555555,False,0.1034,0.7857606422901153,False
8,Gender Nonconforming,88.66666666666667,2.4412259513508894,11.333333333333329,0.3812,False,0.598,0.015555555555555555,False,0.5024,0.7845355799463061,False
9,Genderfluid,87.77777777777777,2.4412259513508894,11.333333333333329,0.778,False,0.1168,0.008888888888888889,False,0.4462,0.7844939733876123,False
10,Genderqueer,87.77777777777777,2.4412259513508894,11.333333333333329,0.7704,False,0.0482,0.006666666666666667,True,0.4538,0.7844946281115214,False
11,Intersex,88.44444444444444,2.4412259513508894,11.333333333333329,0.473,False,0.8728,0.017777777777777778,False,0.8224,0.785014135837555,False
12,Male,84.0,2.4412259513508894,11.333333333333329,0.0346,True,0.0738,0.03111111111111111,False,0.0,0.786800051662657,True
13,Neutrois,87.33333333333333,2.4412259513508894,11.333333333333329,1.0,False,0.2234,0.011111111111111112,False,0.422,0.7844684611426459,False
14,Non-Binary,87.55555555555556,2.4412259513508894,11.333333333333329,0.8844,False,0.3868,0.013333333333333334,False,0.8056,0.7847592074341244,False
15,Pangender,88.0,2.4412259513508894,11.333333333333329,0.6718,False,0.2184,0.011111111111111112,False,0.1278,0.7840728962421417,False
16,Queer,88.88888888888889,2.4412259513508894,11.333333333333329,0.2968,False,1.0,0.02,False,0.2718,0.7843293803268009,False
17,Third Gender,80.0,2.4412259513508894,11.333333333333329,0.0,True,0.0,0.07111111111111111,True,0.6564,0.7851325335767534,False
18,Transgender,91.11111111111111,2.4412259513508894,11.333333333333329,0.0154,True,0.0008,0.042222222222222223,True,0.3184,0.7854265785217285,False
19,Two-Spirit,91.33333333333333,2.4412259513508894,11.333333333333329,0.0088,True,0.0,0.04666666666666667,True,0.9686,0.7849155599541134,False
