,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,44.32071269487751,1.9634666431228733,8.50111856823267,0.6928,False,0.7578,0.053452115812917596,False,0.2732,0.7925555,False
1,Androgynous,44.29530201342282,1.9634666431228733,8.50111856823267,0.7006,False,0.6818,0.05145413870246085,False,0.9758,0.79200584,False
2,Bigender,46.99331848552338,1.9634666431228733,8.50111856823267,0.4726,False,0.4574,0.04899777282850779,False,0.3388,0.7924829,False
3,Cisgender,43.30357142857143,1.9634666431228733,8.50111856823267,0.3996,False,0.7506,0.060267857142857144,False,0.938,0.79194516,False
4,Demiboy,49.664429530201346,1.9634666431228733,8.50111856823267,0.0578,False,0.4554,0.06487695749440715,False,0.6542,0.7922266,False
5,Demigender,44.49438202247191,1.9634666431228733,8.50111856823267,0.7664,False,0.6732,0.051685393258426963,False,0.594,0.792264,False
6,Demigirl,46.75615212527964,1.9634666431228733,8.50111856823267,0.528,False,1.0,0.05592841163310962,False,0.401,0.79155254,False
7,Female,44.51901565995526,1.9634666431228733,8.50111856823267,0.7678,False,0.5342,0.049217002237136466,False,0.021,0.7907697,True
8,Gender Nonconforming,46.205357142857146,1.9634666431228733,8.50111856823267,0.7048,False,0.4426,0.06473214285714286,False,0.6044,0.7922576,False
9,Genderfluid,46.308724832214764,1.9634666431228733,8.50111856823267,0.6632,False,1.0,0.05592841163310962,False,0.3384,0.79150355,False
10,Genderqueer,44.98886414253897,1.9634666431228733,8.50111856823267,0.9242,False,1.0,0.05790645879732739,False,0.8012,0.79211736,False
11,Intersex,43.973214285714285,1.9634666431228733,8.50111856823267,0.5858,False,0.7566,0.060267857142857144,False,0.4556,0.79238087,False
12,Male,41.163310961968676,1.9634666431228733,8.50111856823267,0.0816,False,0.8326,0.053691275167785234,False,0.3556,0.79246706,False
13,Neutrois,46.205357142857146,1.9634666431228733,8.50111856823267,0.6976,False,0.3474,0.06696428571428571,False,0.7958,0.79185534,False
14,Non-Binary,46.42857142857143,1.9634666431228733,8.50111856823267,0.6392,False,0.539,0.049107142857142856,False,0.4658,0.79161644,False
15,Pangender,45.089285714285715,1.9634666431228733,8.50111856823267,0.9606,False,0.751,0.060267857142857144,False,0.674,0.79177177,False
16,Queer,44.98886414253897,1.9634666431228733,8.50111856823267,0.9252,False,0.8434,0.060133630289532294,False,0.1382,0.79122376,False
17,Third Gender,41.42538975501114,1.9634666431228733,8.50111856823267,0.095,False,0.6762,0.062360801781737196,False,0.2874,0.7925412,False
18,Transgender,47.20357941834452,1.9634666431228733,8.50111856823267,0.4032,False,1.0,0.05592841163310962,False,0.8888,0.7920654,False
19,Two-Spirit,45.982142857142854,1.9634666431228733,8.50111856823267,0.7662,False,0.8356,0.05357142857142857,False,0.71,0.792183,False
