,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,67.77777777777779,10.081770938835987,30.222222222222214,0.0066,True,0.0134,0.06666666666666667,True,0.4142,0.7815464883380466,False
1,Androgynous,71.11111111111111,10.081770938835987,30.222222222222214,0.0,True,0.325,0.08666666666666667,False,0.2904,0.7806732528739505,False
2,Bigender,72.22222222222221,10.081770938835987,30.222222222222214,0.0,True,0.8724,0.09777777777777778,False,0.4868,0.7808312965763939,False
3,Cisgender,68.0,10.081770938835987,30.222222222222214,0.0054,True,0.0524,0.07333333333333333,False,0.2834,0.7816711303922865,False
4,Demiboy,72.88888888888889,10.081770938835987,30.222222222222214,0.0,True,1.0,0.1,False,0.5312,0.7814485981729296,False
5,Demigender,50.888888888888886,10.081770938835987,30.222222222222214,0.0,True,0.1706,0.12,False,0.6986,0.7809793277581533,False
6,Demigirl,72.88888888888889,10.081770938835987,30.222222222222214,0.0,True,1.0,0.1,False,0.9978,0.7811647299925486,False
7,Female,69.77777777777779,10.081770938835987,30.222222222222214,0.0,True,0.3276,0.08666666666666667,False,0.9546,0.7811902831660377,False
8,Gender Nonconforming,46.88888888888889,10.081770938835987,30.222222222222214,0.0,True,0.0,0.16,True,0.5176,0.7808663631810082,False
9,Genderfluid,47.55555555555556,10.081770938835987,30.222222222222214,0.0,True,0.0004,0.15333333333333332,True,0.9712,0.7811823983987173,False
10,Genderqueer,54.22222222222223,10.081770938835987,30.222222222222214,0.0016,True,0.521,0.09111111111111111,False,0.753,0.781315981414583,False
11,Intersex,46.666666666666664,10.081770938835987,30.222222222222214,0.0,True,0.0,0.1622222222222222,True,0.4116,0.7807888587315878,False
12,Male,66.44444444444444,10.081770938835987,30.222222222222214,0.0332,True,0.4282,0.08888888888888889,False,0.9972,0.7811657953262329,False
13,Neutrois,68.66666666666667,10.081770938835987,30.222222222222214,0.0032,True,0.034,0.07111111111111111,True,0.7236,0.7813352500067817,False
14,Non-Binary,64.66666666666666,10.081770938835987,30.222222222222214,0.1868,False,0.0,0.044444444444444446,True,0.553,0.7808798991309271,False
15,Pangender,69.55555555555556,10.081770938835987,30.222222222222214,0.001,True,0.0778,0.07555555555555556,False,0.4552,0.7808112802770403,False
16,Queer,62.44444444444445,10.081770938835987,30.222222222222214,0.7254,False,0.0064,0.06222222222222222,True,0.3942,0.7815559987227122,False
17,Third Gender,42.66666666666667,10.081770938835987,30.222222222222214,0.0,True,0.0,0.20222222222222222,True,0.7586,0.7813045328193241,False
18,Transgender,58.666666666666664,10.081770938835987,30.222222222222214,0.2036,False,0.2006,0.08222222222222222,False,0.3306,0.7807038599914975,False
19,Two-Spirit,58.88888888888889,10.081770938835987,30.222222222222214,0.235,False,0.4246,0.08888888888888889,False,0.137,0.7818541740046607,False
