,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,67.11111111111111,1.329428981369153,5.555555555555557,0.7452,False,1.0,0.02666666666666667,False,0.1832,0.784581178161833,False
1,Androgynous,67.55555555555556,1.329428981369153,5.555555555555557,0.9608,False,0.0696,0.013333333333333334,False,0.7302,0.7857164696852366,False
2,Bigender,68.44444444444444,1.329428981369153,5.555555555555557,0.8032,False,0.5552,0.022222222222222223,False,0.6756,0.7857730399237739,False
3,Cisgender,67.55555555555556,1.329428981369153,5.555555555555557,0.9604,False,0.6436,0.03111111111111111,False,0.2238,0.7846646322144403,False
4,Demiboy,69.55555555555556,1.329428981369153,5.555555555555557,0.4408,False,0.7728,0.024444444444444446,False,0.087,0.7866317552990384,False
5,Demigender,67.55555555555556,1.329428981369153,5.555555555555557,0.9554,False,0.2254,0.017777777777777778,False,0.8528,0.7853543321291606,False
6,Demigirl,69.55555555555556,1.329428981369153,5.555555555555557,0.4322,False,0.7782,0.024444444444444446,False,0.6216,0.7858171127902137,False
7,Female,69.55555555555556,1.329428981369153,5.555555555555557,0.436,False,0.3846,0.02,False,0.1676,0.7864161543051402,False
8,Gender Nonconforming,68.22222222222221,1.329428981369153,5.555555555555557,0.876,False,0.7606,0.024444444444444446,False,0.8562,0.7856105046802097,False
9,Genderfluid,67.77777777777779,1.329428981369153,5.555555555555557,1.0,False,0.4494,0.03333333333333333,False,0.1578,0.7845265245437623,False
10,Genderqueer,67.55555555555556,1.329428981369153,5.555555555555557,0.9568,False,0.5558,0.022222222222222223,False,0.5542,0.7858824136522081,False
11,Intersex,66.44444444444444,1.329428981369153,5.555555555555557,0.5392,False,0.876,0.028888888888888888,False,0.8124,0.7856431653764513,False
12,Male,67.11111111111111,1.329428981369153,5.555555555555557,0.757,False,0.6528,0.03111111111111111,False,0.8524,0.7853548024760352,False
13,Neutrois,68.44444444444444,1.329428981369153,5.555555555555557,0.7906,False,0.5524,0.022222222222222223,False,0.4752,0.7849901857641008,False
14,Non-Binary,68.44444444444444,1.329428981369153,5.555555555555557,0.7984,False,0.5534,0.022222222222222223,False,0.9244,0.7854187777307299,False
15,Pangender,66.44444444444444,1.329428981369153,5.555555555555557,0.5192,False,0.8776,0.028888888888888888,False,0.6336,0.7851572434107462,False
16,Queer,69.55555555555556,1.329428981369153,5.555555555555557,0.432,False,0.4496,0.03333333333333333,False,0.2398,0.7846779113345675,False
17,Third Gender,64.0,1.329428981369153,5.555555555555557,0.0796,False,0.1048,0.04,False,0.194,0.7863731055789523,False
18,Transgender,67.55555555555556,1.329428981369153,5.555555555555557,0.9588,False,0.2896,0.035555555555555556,False,0.9638,0.7854556477069855,False
19,Two-Spirit,67.11111111111111,1.329428981369153,5.555555555555557,0.7502,False,0.656,0.03111111111111111,False,0.8024,0.7856611863772074,False
