,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,63.11111111111111,8.239897234356055,27.111111111111107,0.0,True,0.4586,0.08222222222222222,False,0.978,0.7843140472306146,False
1,Androgynous,62.66666666666667,8.239897234356055,27.111111111111107,0.0,True,0.7116,0.07777777777777778,False,0.8552,0.784411020676295,False
2,Bigender,51.55555555555556,8.239897234356055,27.111111111111107,0.296,False,0.005,0.03777777777777778,True,0.8522,0.7844071176317003,False
3,Cisgender,62.66666666666667,8.239897234356055,27.111111111111107,0.0,True,0.7014,0.07777777777777778,False,0.2368,0.7848615358935462,False
4,Demiboy,57.333333333333336,8.239897234356055,27.111111111111107,0.1624,False,0.005,0.03777777777777778,True,0.4002,0.7847135554419623,False
5,Demigender,52.44444444444445,8.239897234356055,27.111111111111107,0.5078,False,0.0002,0.028888888888888888,True,0.9006,0.7842667007446289,False
6,Demigirl,62.44444444444445,8.239897234356055,27.111111111111107,0.0,True,0.8512,0.07555555555555556,False,0.665,0.78452577524715,False
7,Female,52.888888888888886,8.239897234356055,27.111111111111107,0.637,False,0.028,0.04666666666666667,True,0.2232,0.7837715866830613,False
8,Gender Nonconforming,50.888888888888886,8.239897234356055,27.111111111111107,0.1732,False,0.0168,0.044444444444444446,True,0.4398,0.7846848528914981,False
9,Genderfluid,54.666666666666664,8.239897234356055,27.111111111111107,0.8096,False,0.0002,0.028888888888888888,True,0.4638,0.7846601351102194,False
10,Genderqueer,52.44444444444445,8.239897234356055,27.111111111111107,0.5056,False,0.0006,0.028888888888888888,True,0.8636,0.7844082913133833,False
11,Intersex,43.55555555555555,8.239897234356055,27.111111111111107,0.0,True,0.0006,0.11333333333333333,True,0.304,0.7838633788956536,False
12,Male,56.666666666666664,8.239897234356055,27.111111111111107,0.2568,False,0.9324,0.07111111111111111,False,0.286,0.7848157344924079,False
13,Neutrois,62.44444444444445,8.239897234356055,27.111111111111107,0.0,True,0.8562,0.07555555555555556,False,0.0458,0.7852482578489516,True
14,Non-Binary,62.22222222222222,8.239897234356055,27.111111111111107,0.0004,True,1.0,0.07333333333333333,False,0.4312,0.7846933358245426,False
15,Pangender,62.66666666666667,8.239897234356055,27.111111111111107,0.0002,True,0.7128,0.07777777777777778,False,0.9746,0.7843134378062354,False
16,Queer,50.0,8.239897234356055,27.111111111111107,0.0888,False,0.0538,0.04888888888888889,False,0.0844,0.7835453387101491,False
17,Third Gender,36.0,8.239897234356055,27.111111111111107,0.0,True,0.0,0.18888888888888888,True,0.0402,0.7834102574984233,True
18,Transgender,46.22222222222222,8.239897234356055,27.111111111111107,0.0006,True,0.2658,0.08666666666666667,False,0.5536,0.7840546125835842,False
19,Two-Spirit,39.111111111111114,8.239897234356055,27.111111111111107,0.0,True,0.0,0.15777777777777777,True,0.0946,0.7835647540622287,False
