,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,78.17371937639199,1.8929503006751498,8.222222222222214,0.951,False,0.3544,0.035634743875278395,False,0.771,0.78719383,False
1,Androgynous,77.55555555555556,1.8929503006751498,8.222222222222214,0.864,False,0.5532,0.051111111111111114,False,0.7386,0.78722984,False
2,Bigender,76.22222222222223,1.8929503006751498,8.222222222222214,0.371,False,0.2932,0.05555555555555555,False,0.906,0.7869304,False
3,Cisgender,75.77777777777777,1.8929503006751498,8.222222222222214,0.2718,False,0.9062,0.04666666666666667,False,0.9002,0.78692824,False
4,Demiboy,80.0,1.8929503006751498,8.222222222222214,0.2854,False,0.209,0.057777777777777775,False,0.5846,0.78665894,False
5,Demigender,77.11111111111111,1.8929503006751498,8.222222222222214,0.6788,False,0.2518,0.03333333333333333,False,0.4512,0.7875013,False
6,Demigirl,79.77777777777779,1.8929503006751498,8.222222222222214,0.3454,False,0.245,0.03333333333333333,False,0.6514,0.7867193,False
7,Female,74.66666666666667,1.8929503006751498,8.222222222222214,0.0896,False,0.7344,0.04888888888888889,False,0.6056,0.7866721,False
8,Gender Nonconforming,78.66666666666666,1.8929503006751498,8.222222222222214,0.7254,False,0.353,0.035555555555555556,False,0.462,0.78750825,False
9,Genderfluid,79.33333333333333,1.8929503006751498,8.222222222222214,0.4978,False,0.4876,0.03777777777777778,False,0.8524,0.78689086,False
10,Genderqueer,78.0,1.8929503006751498,8.222222222222214,1.0,False,0.245,0.03333333333333333,False,0.5316,0.78741026,False
11,Intersex,76.39198218262806,1.8929503006751498,8.222222222222214,0.4152,False,0.4092,0.053452115812917596,False,0.3932,0.786455,False
12,Male,75.33333333333333,1.8929503006751498,8.222222222222214,0.1824,False,0.4748,0.03777777777777778,False,0.3646,0.7875886,False
13,Neutrois,78.88888888888889,1.8929503006751498,8.222222222222214,0.6378,False,0.8154,0.042222222222222223,False,0.3894,0.7864764,False
14,Non-Binary,78.22222222222223,1.8929503006751498,8.222222222222214,0.9126,False,1.0,0.044444444444444446,False,0.0744,0.7881706,False
15,Pangender,78.22222222222223,1.8929503006751498,8.222222222222214,0.9124,False,0.1992,0.057777777777777775,False,0.8882,0.7869193,False
16,Queer,79.73273942093542,1.8929503006751498,8.222222222222214,0.3726,False,0.7268,0.04899777282850779,False,0.5812,0.7873759,False
17,Third Gender,77.00892857142857,1.8929503006751498,8.222222222222214,0.642,False,0.485,0.03794642857142857,False,0.5824,0.78666836,False
18,Transgender,82.88888888888889,1.8929503006751498,8.222222222222214,0.0118,True,0.1306,0.06,False,0.89,0.7869229,False
19,Two-Spirit,78.0,1.8929503006751498,8.222222222222214,1.0,False,0.2976,0.05555555555555555,False,0.1204,0.7859979,False
