,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Інтерсекс,97.55555555555556,1.565714529633067,7.111111111111114,0.002,True,0.001,0.035555555555555556,True,0.3276,0.80432755,False
1,Агендер,93.55555555555556,1.565714529633067,7.111111111111114,0.6796,False,0.3124,0.008888888888888889,False,0.9102,0.804802,False
2,Андрогінний,94.66666666666667,1.565714529633067,7.111111111111114,0.6082,False,0.1692,0.006666666666666667,False,0.5012,0.80447686,False
3,Бігендер,94.88888888888889,1.565714529633067,7.111111111111114,0.4706,False,0.3286,0.008888888888888889,False,0.2248,0.8055406,False
4,Гендерквір,93.77777777777779,1.565714529633067,7.111111111111114,0.8378,False,0.171,0.006666666666666667,False,0.882,0.8047763,False
5,Гендерне невідповідність,90.44444444444444,1.565714529633067,7.111111111111114,0.0016,True,0.0004,0.035555555555555556,True,0.9442,0.8048993,False
6,Гендерфлюїд,94.0,1.565714529633067,7.111111111111114,1.0,False,0.0642,0.0044444444444444444,False,0.9902,0.804872,False
7,Дводушний (Твоуспірит),93.11111111111111,1.565714529633067,7.111111111111114,0.413,False,0.6986,0.017777777777777778,False,0.9308,0.8049102,False
8,Демігендер,94.0,1.565714529633067,7.111111111111114,1.0,False,0.006,0.0,True,0.5376,0.8052083,False
9,Демідівчина,94.88888888888889,1.565714529633067,7.111111111111114,0.4772,False,0.3258,0.008888888888888889,False,0.2252,0.80554634,False
10,Деміхлопчик,91.11111111111111,1.565714529633067,7.111111111111114,0.0064,True,0.0,0.042222222222222223,True,0.24,0.80552286,False
11,Жінка,95.33333333333334,1.565714529633067,7.111111111111114,0.2694,False,0.841,0.013333333333333334,False,0.4646,0.80445224,False
12,Квір,94.44444444444444,1.565714529633067,7.111111111111114,0.772,False,0.3318,0.008888888888888889,False,0.9804,0.80484766,False
13,Небінарний,94.66666666666667,1.565714529633067,7.111111111111114,0.6054,False,0.1672,0.006666666666666667,False,0.436,0.80529755,False
14,Неутроїс,93.33333333333333,1.565714529633067,7.111111111111114,0.5418,False,0.1592,0.006666666666666667,False,0.3488,0.8043352,False
15,Пангендер,94.88888888888889,1.565714529633067,7.111111111111114,0.4928,False,0.844,0.013333333333333334,False,0.324,0.80430853,False
16,Трансгендер,96.0,1.565714529633067,7.111111111111114,0.0792,False,0.4196,0.02,False,0.4216,0.80442303,False
17,Третя стать,92.66666666666666,1.565714529633067,7.111111111111114,0.232,False,0.8338,0.013333333333333334,False,0.4972,0.80448085,False
18,Цісгендер,94.22222222222221,1.565714529633067,7.111111111111114,0.9142,False,0.16,0.006666666666666667,False,0.739,0.80504996,False
19,Чоловік,93.33333333333333,1.565714529633067,7.111111111111114,0.549,False,0.0164,0.028888888888888888,True,0.5788,0.8051777,False
