,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Інтерсекс,73.92344497607655,2.400326494072982,10.432673543350987,1.0,False,0.673,0.05263157894736842,False,0.5194,0.8136829,False
1,Агендер,72.87735849056604,2.400326494072982,10.432673543350987,0.618,False,0.5948,0.05188679245283019,False,0.6618,0.8130358,False
2,Андрогінний,75.96153846153845,2.400326494072982,10.432673543350987,0.3618,False,0.6692,0.052884615384615384,False,0.2372,0.8125943,False
3,Бігендер,74.47306791569088,2.400326494072982,10.432673543350987,0.8196,False,0.0792,0.03747072599531616,False,0.3734,0.81278175,False
4,Гендерквір,72.57281553398059,2.400326494072982,10.432673543350987,0.5234,False,0.1342,0.07524271844660194,False,0.2336,0.8140097,False
5,Гендерне невідповідність,72.10401891252955,2.400326494072982,10.432673543350987,0.3906,False,0.0874,0.07801418439716312,False,0.9344,0.8133541,False
6,Гендерфлюїд,74.63768115942028,2.400326494072982,10.432673543350987,0.7706,False,0.0894,0.03864734299516908,False,0.4946,0.8137076,False
7,Дводушний (Твоуспірит),72.14285714285714,2.400326494072982,10.432673543350987,0.388,False,0.1606,0.07380952380952381,False,0.4072,0.81379646,False
8,Демігендер,73.44497607655502,2.400326494072982,10.432673543350987,0.8086,False,0.4412,0.06698564593301436,False,0.398,0.81281596,False
9,Демідівчина,73.67149758454107,2.400326494072982,10.432673543350987,0.9114,False,0.386,0.04830917874396135,False,0.8086,0.81345063,False
10,Деміхлопчик,73.41176470588235,2.400326494072982,10.432673543350987,0.819,False,0.9188,0.05647058823529412,False,0.0014,0.8114621,True
11,Жінка,72.30392156862744,2.400326494072982,10.432673543350987,0.4446,False,0.2858,0.07107843137254902,False,0.391,0.8138315,False
12,Квір,77.77777777777779,2.400326494072982,10.432673543350987,0.0696,False,0.3338,0.04728132387706856,False,0.66,0.81357175,False
13,Небінарний,77.96208530805687,2.400326494072982,10.432673543350987,0.0582,False,1.0,0.05687203791469194,False,0.0006,0.815395,True
14,Неутроїс,72.00956937799043,2.400326494072982,10.432673543350987,0.3478,False,0.9078,0.05980861244019139,False,0.4474,0.81285745,False
15,Пангендер,75.72115384615384,2.400326494072982,10.432673543350987,0.4258,False,0.2104,0.04326923076923077,False,0.9952,0.8133005,False
16,Трансгендер,76.70588235294117,2.400326494072982,10.432673543350987,0.1894,False,0.0214,0.03294117647058824,True,0.683,0.8135528,False
17,Третя стать,67.52941176470588,2.400326494072982,10.432673543350987,0.0022,True,0.0,0.12470588235294118,True,0.5948,0.812998,False
18,Цісгендер,76.20192307692307,2.400326494072982,10.432673543350987,0.2952,False,0.2744,0.04567307692307692,False,0.5024,0.81290585,False
19,Чоловік,74.27884615384616,2.400326494072982,10.432673543350987,0.9016,False,0.2778,0.04567307692307692,False,0.635,0.813026,False
