,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,84.12698412698413,1.5879176841573164,6.032493167324631,0.3364,False,0.2868,0.07029478458049887,False,0.4614,0.7862931,False
1,Androgynous,83.06997742663657,1.5879176841573164,6.032493167324631,0.735,False,0.051,0.05869074492099323,False,0.3002,0.7861346,False
2,Bigender,82.12669683257919,1.5879176841573164,6.032493167324631,0.8912,False,0.4338,0.09502262443438914,False,0.184,0.7859641,False
3,Cisgender,79.81859410430839,1.5879176841573164,6.032493167324631,0.1624,False,0.7806,0.08843537414965986,False,0.5744,0.7870362,False
4,Demiboy,84.45945945945947,1.5879176841573164,6.032493167324631,0.2476,False,0.6568,0.09009009009009009,False,0.3806,0.78722954,False
5,Demigender,81.53153153153153,1.5879176841573164,6.032493167324631,0.651,False,0.5256,0.09234234234234234,False,0.674,0.78647596,False
6,Demigirl,84.35374149659864,1.5879176841573164,6.032493167324631,0.276,False,0.4204,0.09523809523809523,False,0.9086,0.78665394,False
7,Female,80.71748878923766,1.5879176841573164,6.032493167324631,0.3752,False,0.6568,0.07847533632286996,False,0.2036,0.78745294,False
8,Gender Nonconforming,83.06997742663657,1.5879176841573164,6.032493167324631,0.7448,False,0.2976,0.06997742663656885,False,0.551,0.7863855,False
9,Genderfluid,82.77404921700223,1.5879176841573164,6.032493167324631,0.8466,False,0.375,0.09619686800894854,False,0.9152,0.78678215,False
10,Genderqueer,82.10290827740492,1.5879176841573164,6.032493167324631,0.8926,False,0.5402,0.07606263982102908,False,0.2348,0.7874002,False
11,Intersex,81.57303370786518,1.5879176841573164,6.032493167324631,0.6426,False,0.6652,0.07865168539325842,False,0.9192,0.78677565,False
12,Male,78.42696629213484,1.5879176841573164,6.032493167324631,0.0268,True,0.7306,0.0898876404494382,False,0.0238,0.7879787,True
13,Neutrois,82.08616780045351,1.5879176841573164,6.032493167324631,0.9042,False,0.5872,0.07709750566893424,False,0.9772,0.786704,False
14,Non-Binary,82.61851015801355,1.5879176841573164,6.032493167324631,0.9442,False,0.3818,0.07223476297968397,False,0.6746,0.7869619,False
15,Pangender,82.99776286353467,1.5879176841573164,6.032493167324631,0.7462,False,0.1582,0.1029082774049217,False,0.059,0.7856272,False
16,Queer,84.42437923250564,1.5879176841573164,6.032493167324631,0.2718,False,0.6662,0.09029345372460497,False,0.4482,0.7871461,False
17,Third Gender,81.12359550561797,1.5879176841573164,6.032493167324631,0.487,False,0.601,0.09213483146067415,False,0.591,0.787036,False
18,Transgender,84.04494382022472,1.5879176841573164,6.032493167324631,0.3782,False,0.6046,0.09213483146067415,False,0.9668,0.7866972,False
19,Two-Spirit,82.51121076233184,1.5879176841573164,6.032493167324631,0.9506,False,0.7924,0.08071748878923767,False,0.068,0.7856704,False
