,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,64.65324384787472,1.282207958992182,4.768577834721327,0.6846,False,0.7398,0.0447427293064877,False,0.6062,0.7863923,False
1,Androgynous,65.32438478747203,1.282207958992182,4.768577834721327,0.9246,False,0.5704,0.042505592841163314,False,0.3028,0.7860374,False
2,Bigender,65.47085201793722,1.282207958992182,4.768577834721327,0.9574,False,0.0924,0.03139013452914798,False,0.1382,0.7857253,False
3,Cisgender,65.03340757238307,1.282207958992182,4.768577834721327,0.7944,False,0.9098,0.0467706013363029,False,0.5284,0.7863073,False
4,Demiboy,67.41071428571429,1.282207958992182,4.768577834721327,0.4172,False,0.9094,0.046875,False,0.9964,0.7867538,False
5,Demigender,64.58797327394208,1.282207958992182,4.768577834721327,0.634,False,0.1512,0.0334075723830735,False,0.6494,0.7864361,False
6,Demigirl,68.16143497757847,1.282207958992182,4.768577834721327,0.2678,False,0.367,0.05829596412556054,False,0.144,0.7877533,False
7,Female,64.86486486486487,1.282207958992182,4.768577834721327,0.7662,False,0.356,0.05855855855855856,False,0.098,0.7878692,False
8,Gender Nonconforming,64.41441441441441,1.282207958992182,4.768577834721327,0.5958,False,1.0,0.04954954954954955,False,0.9268,0.78681505,False
9,Genderfluid,65.47085201793722,1.282207958992182,4.768577834721327,0.9568,False,0.8268,0.0515695067264574,False,0.373,0.78735185,False
10,Genderqueer,66.74157303370787,1.282207958992182,4.768577834721327,0.6014,False,0.5822,0.04269662921348315,False,0.4058,0.7861808,False
11,Intersex,66.07142857142857,1.282207958992182,4.768577834721327,0.8428,False,0.9056,0.046875,False,0.846,0.78687626,False
12,Male,63.39285714285714,1.282207958992182,4.768577834721327,0.3214,False,0.0678,0.06696428571428571,False,0.1402,0.7877693,False
13,Neutrois,66.06741573033707,1.282207958992182,4.768577834721327,0.8448,False,0.217,0.035955056179775284,False,0.7732,0.78694683,False
14,Non-Binary,64.95535714285714,1.282207958992182,4.768577834721327,0.799,False,0.5014,0.05580357142857143,False,0.9778,0.78673214,False
15,Pangender,63.91982182628062,1.282207958992182,4.768577834721327,0.4462,False,0.1794,0.062360801781737196,False,0.6236,0.7864123,False
16,Queer,67.86516853932584,1.282207958992182,4.768577834721327,0.3082,False,0.3714,0.058426966292134834,False,0.8068,0.78692406,False
17,Third Gender,65.24663677130044,1.282207958992182,4.768577834721327,0.8826,False,0.3132,0.03811659192825112,False,0.7648,0.78654695,False
18,Transgender,66.96629213483146,1.282207958992182,4.768577834721327,0.5484,False,0.4906,0.056179775280898875,False,0.045,0.7853753,True
19,Two-Spirit,65.24663677130044,1.282207958992182,4.768577834721327,0.8816,False,0.732,0.04484304932735426,False,0.1344,0.7878106,False
