,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,51.06382978723404,5.093821179395625,19.195697919102177,0.0042,True,0.4774,0.2695035460992908,False,0.4148,0.78656393,False
1,Androgynous,41.580756013745706,5.093821179395625,19.195697919102177,0.8054,False,0.6342,0.23711340206185566,False,0.708,0.7868876,False
2,Bigender,37.174721189591075,5.093821179395625,19.195697919102177,0.0768,False,0.9466,0.2527881040892193,False,0.4026,0.7865331,False
3,Cisgender,50.1628664495114,5.093821179395625,19.195697919102177,0.0062,True,0.344,0.2280130293159609,False,0.0046,0.7852893,True
4,Demiboy,44.78114478114478,5.093821179395625,19.195697919102177,0.4318,False,1.0,0.24915824915824916,False,0.7234,0.78737295,False
5,Demigender,41.45454545454545,5.093821179395625,19.195697919102177,0.7516,False,0.1698,0.21454545454545454,False,0.9362,0.78707653,False
6,Demigirl,44.128113879003564,5.093821179395625,19.195697919102177,0.5782,False,0.0442,0.302491103202847,True,0.0124,0.7888791,True
7,Female,36.39575971731448,5.093821179395625,19.195697919102177,0.0372,True,0.761,0.2579505300353357,False,0.3016,0.78641117,False
8,Gender Nonconforming,43.01075268817204,5.093821179395625,19.195697919102177,0.8506,False,0.1992,0.2831541218637993,False,0.9518,0.7870898,False
9,Genderfluid,45.94594594594595,5.093821179395625,19.195697919102177,0.2236,False,0.8332,0.25675675675675674,False,0.6788,0.7874167,False
10,Genderqueer,45.307443365695796,5.093821179395625,19.195697919102177,0.3138,False,0.9462,0.24919093851132687,False,0.7038,0.78739107,False
11,Intersex,39.51890034364261,5.093821179395625,19.195697919102177,0.3452,False,0.325,0.27491408934707906,False,0.7572,0.7873474,False
12,Male,39.482200647249186,5.093821179395625,19.195697919102177,0.295,False,0.1744,0.284789644012945,False,0.1788,0.78801936,False
13,Neutrois,42.21453287197232,5.093821179395625,19.195697919102177,0.9532,False,0.0706,0.2041522491349481,False,0.3694,0.7865255,False
14,Non-Binary,50.649350649350644,5.093821179395625,19.195697919102177,0.0036,True,0.641,0.262987012987013,False,0.6338,0.78745276,False
15,Pangender,41.75084175084175,5.093821179395625,19.195697919102177,0.8068,False,0.0764,0.2053872053872054,False,0.1234,0.7882047,False
16,Queer,45.48611111111111,5.093821179395625,19.195697919102177,0.287,False,0.5878,0.2361111111111111,False,0.5394,0.78756183,False
17,Third Gender,31.868131868131865,5.093821179395625,19.195697919102177,0.0004,True,0.0838,0.20512820512820512,False,0.911,0.7872122,False
18,Transgender,37.407407407407405,5.093821179395625,19.195697919102177,0.09,False,0.7586,0.25925925925925924,False,0.1452,0.78607756,False
19,Two-Spirit,36.72727272727273,5.093821179395625,19.195697919102177,0.0526,False,0.1976,0.28363636363636363,False,0.8372,0.78728807,False
