,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Інтерсекс,86.0576923076923,1.7858260561445884,8.262858078628142,0.4758,False,0.596,0.14423076923076922,False,0.9146,0.80871385,False
1,Агендер,85.0,1.7858260561445884,8.262858078628142,0.9444,False,0.656,0.14285714285714285,False,0.257,0.80794173,False
2,Андрогінний,86.48648648648648,1.7858260561445884,8.262858078628142,0.3628,False,0.5974,0.12530712530712532,False,0.9464,0.8088345,False
3,Бігендер,87.43961352657004,1.7858260561445884,8.262858078628142,0.1248,False,0.272,0.11594202898550725,False,0.1006,0.80999815,False
4,Гендерквір,84.4059405940594,1.7858260561445884,8.262858078628142,0.8938,False,0.761,0.14108910891089108,False,0.837,0.80894226,False
5,Гендерно нонконфорфмний,86.23188405797102,1.7858260561445884,8.262858078628142,0.392,False,0.9452,0.13285024154589373,False,0.0462,0.81026155,True
6,Гендерфлюїд,86.25,1.7858260561445884,8.262858078628142,0.4216,False,0.1798,0.1125,False,0.2944,0.808003,False
7,Дводушний (Твоуспірит),79.1767554479419,1.7858260561445884,8.262858078628142,0.0012,True,0.0408,0.1694915254237288,True,0.4444,0.80822504,False
8,Демігендер,84.5771144278607,1.7858260561445884,8.262858078628142,0.9468,False,0.9342,0.13681592039800994,False,0.915,0.8088623,False
9,Демідівчина,84.91484184914842,1.7858260561445884,8.262858078628142,0.9494,False,0.7678,0.1411192214111922,False,0.2194,0.8096762,False
10,Деміхлопчик,83.16582914572864,1.7858260561445884,8.262858078628142,0.3966,False,0.4384,0.14824120603015076,False,0.4462,0.80935687,False
11,Жінка,84.688995215311,1.7858260561445884,8.262858078628142,1.0,False,0.4608,0.12200956937799043,False,0.7226,0.80853724,False
12,Квір,84.55882352941177,1.7858260561445884,8.262858078628142,0.9478,False,0.4572,0.12254901960784313,False,0.4904,0.809294,False
13,Небінарний,84.91484184914842,1.7858260561445884,8.262858078628142,0.9464,False,0.5074,0.12408759124087591,False,0.0586,0.8074417,False
14,Неутроїс,83.08823529411765,1.7858260561445884,8.262858078628142,0.35,False,0.7026,0.14215686274509803,False,0.754,0.80855554,False
15,Пангендер,85.67961165048543,1.7858260561445884,8.262858078628142,0.6226,False,1.0,0.13592233009708737,False,0.569,0.80837494,False
16,Трансгендер,85.0,1.7858260561445884,8.262858078628142,0.9486,False,0.1818,0.15714285714285714,False,0.3484,0.80946106,False
17,Третя стать,82.84313725490196,1.7858260561445884,8.262858078628142,0.2882,False,0.505,0.14705882352941177,False,0.0132,0.8070093,True
18,Цісгендер,86.4406779661017,1.7858260561445884,8.262858078628142,0.3604,False,0.1136,0.1089588377723971,False,0.5584,0.8083621,False
19,Чоловік,84.38287153652394,1.7858260561445884,8.262858078628142,0.8274,False,0.8234,0.1309823677581864,False,0.1422,0.8098882,False
