,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Інтерсекс,66.4259927797834,1.7021766215495346,6.561535584026942,0.3026,False,0.8018,0.05415162454873646,False,0.1308,0.810312,False
1,Агендер,68.36363636363636,1.7021766215495346,6.561535584026942,0.7432,False,0.6892,0.05090909090909091,False,0.795,0.8094414,False
2,Андрогінний,68.95424836601308,1.7021766215495346,6.561535584026942,0.9054,False,0.9014,0.05555555555555555,False,0.7598,0.8090653,False
3,Бігендер,68.25938566552901,1.7021766215495346,6.561535584026942,0.7008,False,0.618,0.051194539249146756,False,0.6474,0.8095736,False
4,Гендерквір,69.23076923076923,1.7021766215495346,6.561535584026942,1.0,False,0.5264,0.04895104895104895,False,0.39,0.80985826,False
5,Гендерно нонконфорфмний,71.95945945945947,1.7021766215495346,6.561535584026942,0.3316,False,0.0564,0.08445945945945946,False,0.441,0.80875444,False
6,Гендерфлюїд,69.3103448275862,1.7021766215495346,6.561535584026942,1.0,False,0.1566,0.03793103448275862,False,0.5922,0.8088991,False
7,Дводушний (Твоуспірит),68.04123711340206,1.7021766215495346,6.561535584026942,0.651,False,0.2382,0.041237113402061855,False,0.6658,0.80897707,False
8,Демігендер,70.88122605363985,1.7021766215495346,6.561535584026942,0.5966,False,0.6034,0.04980842911877394,False,0.2868,0.8084849,False
9,Демідівчина,69.93464052287581,1.7021766215495346,6.561535584026942,0.846,False,0.8968,0.05555555555555555,False,0.9696,0.8092424,False
10,Деміхлопчик,70.97902097902097,1.7021766215495346,6.561535584026942,0.5588,False,0.2574,0.04195804195804196,False,0.2364,0.81008095,False
11,Жінка,69.71830985915493,1.7021766215495346,6.561535584026942,0.8968,False,0.0374,0.0880281690140845,True,0.9192,0.80919474,False
12,Квір,70.0,1.7021766215495346,6.561535584026942,0.7862,False,0.0846,0.08214285714285714,False,0.1572,0.80826956,False
13,Небінарний,71.52777777777779,1.7021766215495346,6.561535584026942,0.4246,False,0.304,0.07291666666666667,False,0.7084,0.809004,False
14,Неутроїс,65.39792387543253,1.7021766215495346,6.561535584026942,0.145,False,0.3754,0.04498269896193772,False,0.3002,0.809972,False
15,Пангендер,70.55016181229773,1.7021766215495346,6.561535584026942,0.6674,False,0.5422,0.04854368932038835,False,0.4798,0.80880004,False
16,Трансгендер,68.51851851851852,1.7021766215495346,6.561535584026942,0.787,False,0.0654,0.08518518518518518,False,0.2674,0.81003416,False
17,Третя стать,67.64705882352942,1.7021766215495346,6.561535584026942,0.596,False,0.4952,0.04779411764705882,False,0.9126,0.8091885,False
18,Цісгендер,71.27659574468085,1.7021766215495346,6.561535584026942,0.4634,False,0.3004,0.0425531914893617,False,0.8104,0.8094291,False
19,Чоловік,68.47826086956522,1.7021766215495346,6.561535584026942,0.783,False,0.1446,0.07971014492753623,False,0.492,0.80878735,False
