candidate_id,job_id,CV,Job Description,Job Position,lang,raw_output_gpt-4o,raw_output_gpt-4o_json_extracted,decision_gpt-4o,feedback_gpt-4o
0184e8bb-90fb-5917-a840-3be29c110c8f,0e05d4f5-913b-57a7-89c3-6296c6d59767,"Winner of Innocentive Challenges
1. Analysis data and forecast in fintech.
2. Computer vision for object recognition. 
3. Forecast of time series data.
4. Development of model for recommendation system.
I am applying for a job in data mining, data prediction, recommendation system, image recognition with fixed prices for companies.","We are looking for a Data Scientist who will enrich our customer's product with smart, predictive and learning models. Our product is an Adtech platform which sends smart campaigns through emails and SMS. We have Terabytes of data stored(over ElasticSearch and MySQL) and we are currently looking for the right person, a real expert that will take this to his playground and will convert it using his experience and ML\DL techniques to higher CTR,ROI and revenues for the platform. 

**Responsibilities:**
Must have strong experience using a variety of data mining/data analysis methods.
Python scripting - including working with databases and writing APIs to support other applications of the organization.
Using a variety of data tools.
Building and implementing models.
Using/creating algorithms.
Creating/running simulations. 
Proven ability to drive business results with their data-based insights. 

**Requirements:**
3+ years of ML experience.
Experienced at Python3.
Strong problem-solving skills with an emphasis on product development.
Proven experience in industrial production projects.
The ability to create model E2E and its production maintenance.
A bachelor's degree in statistics, math, computer science, or engineering.
Previous work with ElasticSearch - a plus.
Previous work with MySQL - a plus.
Previous work with Jenkins and its setup - a plus.
Working with AdTech companies/projects - huge advantage. 
Multi-armed-bandits realization - a plus.

**Benefits**
Learning a lot and loving your work for the long term.
A team that values a positive, diverse, and growth-oriented environment
Office in Dnipro or possibility to work remotely
Flexible schedule
Compatible salary
Paid vacations / sick days",Data Scientist,en,"{
  ""decision"": ""reject"",
  ""feedback"": ""Lacks explicit experience in AdTech, ElasticSearch, MySQL, and Python scripting with databases necessary for this role focusing on predictive models and business results.""
}
```","{""decision"": ""reject"",  ""feedback"": ""Lacks explicit experience in AdTech, ElasticSearch, MySQL, and Python scripting with databases necessary for this role focusing on predictive models and business results.""}",reject,"Lacks explicit experience in AdTech, ElasticSearch, MySQL, and Python scripting with databases necessary for this role focusing on predictive models and business results."
0184e8bb-90fb-5917-a840-3be29c110c8f,3a43100e-5302-5828-bf7b-313eca6b9080,"Winner of Innocentive Challenges
1. Analysis data and forecast in fintech.
2. Computer vision for object recognition. 
3. Forecast of time series data.
4. Development of model for recommendation system.
I am applying for a job in data mining, data prediction, recommendation system, image recognition with fixed prices for companies.","Key Responsibilities:

Bringing solutions from research into production
Developing AutoML components for predictive modeling
Developing methods to explain prediction models of industrial failures
Developing unsupervised approaches for anomaly detection
Maintain and support product development and product users

Skills & Qualifications:
M.Sc. (with thesis) or Ph.D. in Computer Science, Mathematics, Physics or related field
Programming experience in Python/Matlab
Experience of 2+ years in data science working in a production environment
Strong English and communication skills (both speech and writing)
Highly motivated and positive-attituded person
Team player
Experience with agile development methodology
Excellent English verbal and written communication skills
Outstanding communication skills
Passion for data
Preferable Skills & Qualifications
Delivery oriented
Knowledge of Spark, Kubernetes, Ray, Tune is an advantage
Knowledge of Sklearn, Pandas, Timeseries
Experience with Java
Experience with Signal Processing
Experience in the field of predictive maintenance
Data science
Machine learning algorithms
Data engineering
Deep learning
CS algorithms
Python /Matlab
Signal processing
Technology stack
Data science
Machine learning algorithms
Data engineering
Deep learning
CS algorithms
Python /Matlab
Signal processing",Data Scientist,en,"{
  ""decision"": ""reject"",
  ""feedback"": ""Candidate lacks production experience and specific skills like AutoML, anomaly detection, and predictive maintenance required by the job description.""
}
```","{""decision"": ""reject"",  ""feedback"": ""Candidate lacks production experience and specific skills like AutoML, anomaly detection, and predictive maintenance required by the job description.""}",reject,"Candidate lacks production experience and specific skills like AutoML, anomaly detection, and predictive maintenance required by the job description."
0184e8bb-90fb-5917-a840-3be29c110c8f,a2c55b4c-a2df-582b-b200-bc12824fe455,"Winner of Innocentive Challenges
1. Analysis data and forecast in fintech.
2. Computer vision for object recognition. 
3. Forecast of time series data.
4. Development of model for recommendation system.
I am applying for a job in data mining, data prediction, recommendation system, image recognition with fixed prices for companies.","MS or higher in the following areas: Statistics and Mathematics
At least 3-5 years of professional industry experience, in addition to your academic experience
Outstanding quantitative analytical ability
Able to take less than precise business requirements and translate them into logic problems which you enjoy solving
Independent and creative approach to problem solving
Excellent written and verbal communication skills, with prior experience explaining assumptions, conclusions and methodology to both internal and external customers
In-depth knowledge of Statistics/Probability/Machine Learning
General Statistical concepts such as hypothesis testing, estimation, inference
Supervised and unsupervised statistical techniques such as regression (linear / logistic), time series analysis, clustering
Machine Learning foundations such as bias/variance trade-off, regularization, dimension reduction
Real world experience with popular machine Learning algorithms such as Random Forest, Boosting, SVMs
Experience with unstructured text data using NLP methods such as Latent Dirichlet Allocation (LDA), Latent Semantic Analysis (LSA), Sentiment Models, Word Embeddings, Text Similarity, Entity extraction is a strong plus
Strong programming experience in Python and one of the following: Scala/Java, R
Understanding of algorithm complexity and performance implications
Knowledge of data structures and algorithms
Good knowledge of Knowledge Engineering
Good knowledge of Graph technology, Knowledge Graphs, Graph Data bases and Ontologies
Experience with SQL
Familiarity with R Shiny framework is a plus",Data Scientist,en,"{
  ""decision"": ""reject"",
  ""feedback"": ""Candidate lacks required academic background and specific expertise in statistical methods and NLP as outlined in job description.""
}
```","{""decision"": ""reject"",  ""feedback"": ""Candidate lacks required academic background and specific expertise in statistical methods and NLP as outlined in job description.""}",reject,Candidate lacks required academic background and specific expertise in statistical methods and NLP as outlined in job description.
018a552e-3662-5f1d-a415-3af1d29a44de,224ab121-1559-5b81-9dd5-d598bbb40366,"09.2018 — 10.2018
Online course
ITHunt

05. 2016 — 07.2016
Course: HR for beginners
EasyCode
08.2018 — 04.2019
IT-company, Kharkiv 
HR generalist
-HR management: supporting review of salary rate, reporting vacation/day-off, onboarding new employees, preparing professional development plan for developers, conducting one to one meeting;
- recruiting;
- office management: ordering stationery and furniture, managing office budgets, etc.
event management.

IT-company, Kharkiv 
12.2016— 07.2018
Junior Recruiter/HR assistant
Responsibilities:
- sourcing and attracting candidates by using databases, social media etc;
- supporting first interviews and filtering candidates for open positions;
- screening CVs and cold calling;
 assisting in organizing, scheduling and conducting interviews;
- assisting in preparing and sending offer process and onboarding new employees.
For over a year I've been working in a technical position but I would like to return to the HR sphere. So if that doesn't bother you, let's talk.","**Required skills:**
- 2 + years experience in a diverse range of HR functions working within progressive HR models
- Good speaking and writing skills in English (at least upper intermediate)
- Positive attitude (Coming with the solution not with complaints);
- Proven experience in different HR areas: adaptation, performance management, L&D, employee engagement & retention, C&B, separation;
- Striving to self-development and improvement
- Observe and know how to implement HR trends
- Excellent communication skills, ability to facilitate, coach and mentoring

**Responsibilities:**
- TALENT MANAGEMENT - Identifies, assesses, upgraded;
- PEOPLE ANALYTICS: analytics of key HR indicators in the company and market trends, work with surveys
- LEARNING & DEVELOPMENT: create internal L&D programs, cooperate with educational providers, help with PDP plans for each level
- PERFORMANCE MANAGEMENT: improve performance review process and policy, organize performance review for C-level, aligns performance management and reward systems
- ENGAGEMENT & RETENTION: provide surveys and action plans, regular 1-1 meeting with Leads
- HRMS ADMINISTRATION: design and implement flows in HRMS BambooHR, coordinate and control all processes regarding HRMS, training and consulting on the processes in HRMS
- ORGANIZATIONAL DESIGN: participation in the formation, description of the company's structure and roles

**We offer:**
Full-time position in the office
A unique working environment in a friendly team
Full time job with flexible schedule
Opportunity of career growth
Benefit package
Opportunity to contribute ideas and suggestions to the processes
Free English classes
Regular company events with a chill atmosphere and board games

We look forward to welcoming you to our team!",HR manager,en,"```{""decision"": ""reject"", ""feedback"": ""Lacks necessary HR experience and skills such as advanced HR functions, communication, and proficiency in HR technologies like BambooHR for the role.""}```","{""decision"": ""reject"", ""feedback"": ""Lacks necessary HR experience and skills such as advanced HR functions, communication, and proficiency in HR technologies like BambooHR for the role.""}",reject,"Lacks necessary HR experience and skills such as advanced HR functions, communication, and proficiency in HR technologies like BambooHR for the role."
018a552e-3662-5f1d-a415-3af1d29a44de,40b10837-ef9c-5c37-aa19-d706da227a38,"09.2018 — 10.2018
Online course
ITHunt

05. 2016 — 07.2016
Course: HR for beginners
EasyCode
08.2018 — 04.2019
IT-company, Kharkiv 
HR generalist
-HR management: supporting review of salary rate, reporting vacation/day-off, onboarding new employees, preparing professional development plan for developers, conducting one to one meeting;
- recruiting;
- office management: ordering stationery and furniture, managing office budgets, etc.
event management.

IT-company, Kharkiv 
12.2016— 07.2018
Junior Recruiter/HR assistant
Responsibilities:
- sourcing and attracting candidates by using databases, social media etc;
- supporting first interviews and filtering candidates for open positions;
- screening CVs and cold calling;
 assisting in organizing, scheduling and conducting interviews;
- assisting in preparing and sending offer process and onboarding new employees.
For over a year I've been working in a technical position but I would like to return to the HR sphere. So if that doesn't bother you, let's talk.","The ideal candidates should have solid experience with HR management practices in a medium – large organization.

**As an HR manager at Onseo/888 project you will be responsible for:**
- Working closely with managers and employees to identify and provide value-added HR advice, guidance and support that helps to improve work relationships, increase productivity, and ensure healthy engagement between employees and teams
- Managing a professional and managerial training plan
- Managing the group day-to-day HR operations in Kiev (travel arrangements, producing happy hours and local events, etc.)
- Managing E2E employee lifecycle – from onboarding until off-boarding

**This job is for you if you have:**
- 2+ years’ experience as an HR manager in a medium-large global hi-tech organization – a must
- Full understanding of all HR functions and best practices and experience in implementing HR processes
- A hands-on approach
- A solution focused attitude - identify problems and find appropriate solutions.
- Excellent organizational and interpersonal skills
- Ability to interface at all levels of the organization
- Knowledge of labor legislation
- BS degree in Human Resources or related field
- Experience with ERP system, Success Factor system – an advantage
- Excellent English (talk, read & write)

**We offer:**
Competitive salary
Medical issuance Paid sick days
Long-term employment with 20 working days paid vacation
Sport compensation
English lessons",HR manager,en,"{
  ""decision"": ""reject"",
  ""feedback"": ""Lacks minimum 2+ years"" HR manager experience in a medium-large global hi-tech organization, a key requirement for the role at Onseo/888 project.""
}
```","{""decision"": ""reject"",  ""feedback"": ""Lacks minimum 2+ years' HR manager experience in a medium-large global hi-tech organization, a key requirement for the role at Onseo/888 project.""}",reject,"Lacks minimum 2+ years' HR manager experience in a medium-large global hi-tech organization, a key requirement for the role at Onseo/888 project."
018a552e-3662-5f1d-a415-3af1d29a44de,aff8f3de-43d1-516e-8c3c-bd43a1cc69dd,"09.2018 — 10.2018
Online course
ITHunt

05. 2016 — 07.2016
Course: HR for beginners
EasyCode
08.2018 — 04.2019
IT-company, Kharkiv 
HR generalist
-HR management: supporting review of salary rate, reporting vacation/day-off, onboarding new employees, preparing professional development plan for developers, conducting one to one meeting;
- recruiting;
- office management: ordering stationery and furniture, managing office budgets, etc.
event management.

IT-company, Kharkiv 
12.2016— 07.2018
Junior Recruiter/HR assistant
Responsibilities:
- sourcing and attracting candidates by using databases, social media etc;
- supporting first interviews and filtering candidates for open positions;
- screening CVs and cold calling;
 assisting in organizing, scheduling and conducting interviews;
- assisting in preparing and sending offer process and onboarding new employees.
For over a year I've been working in a technical position but I would like to return to the HR sphere. So if that doesn't bother you, let's talk.","We are looking for an experienced HR Manager for a part-time partnership with our company. 

**Requirements**: 
• 2+ years of experience in the HR field
• deep knowledge of recruiting tools
• English knowledge - B1+

**Responsibilities:**
• full circle of the recruitment process
• participation in the development of HR processes
• document flow management
• conduct performance reviews
• maintain employees pay plan

**Would be a plus:**
• knowledge of HRIS


We offer:
• choice between remote and in-person work (Kyiv office)
• agile startup environment and flexible work hours
• competitive compensation
• English courses
• performance-based bonuses and other rewards",HR manager,en,"{
  ""decision"": ""reject"",
  ""feedback"": ""Lacks depth of recent experience and HRIS knowledge; technical gap may impact performance.""
}
```","{""decision"": ""reject"",  ""feedback"": ""Lacks depth of recent experience and HRIS knowledge; technical gap may impact performance.""}",reject,Lacks depth of recent experience and HRIS knowledge; technical gap may impact performance.
018cfdfa-d7af-565b-9e54-a065759e4d27,269487d9-b66b-5823-b2a4-1fea8b82d581,"
03/2018 – present
Automation QA
Trinetix (Kyiv, Ukraine)
Responsibilities:
- Writing e2e/API level tests using TypeScript;
- Writing integration tests using C#/javascript;
- Developing and supporting backend for
custom test application;
- Contributing to test framework;
- Working with version control systems (e.g.
GIT);
- Working with tracking systems (e.g.TestRail,
Azure DevOps);
- Working with testing tools (e.g. Browser
DevTools, Fiddler, Postman);
- Working with Azure DevOps;
- Working with AWS.

11/2017 – 03/2018
RPA Developer
Trinetix (Kyiv, Ukraine)
Responsibilities:
- Working with robotic automation tool
(UiPath);
- Developing and implementing bots replacing
manual labour;
- Create reusable processes and/or extensions
for the RPA toolsets;
- Participating in proof of concepts for new RPA
opportunities;
- Decomposing a process into reusable subcomponents;
- Creating custom activities;
- Working with Process Definition Document
(PDD).

05/2016 – 10/2017
System Administrator
Hostpark (Kyiv, Ukraine)
Responsibilities:
- Installing and configuring software, hardware
and networks;
- Monitoring system performance and
troubleshooting.
Работа в международной компании с интересными проектами.","Requirements:
- At least 3 years of experience as automation developer
- Experience developing in JavaScript – Must
- Experience working with Microservices / Dockers
- Experience with Selenium WebDriver - Must
- English - at least intermediate

Will be a plus:
- Knowledge in CI/CD, NodeJS
- Experience developing automation for mobile (Appium, etc.)

Responsibilities: 
- Develop and execute test cases, scripts, plans and procedures
- Create test plans and test cases
- Find, isolate, document, regress, and track bugs through resolution
- Facilitate and lead investigations into process failures that are the root causes of product non-conformances

About the project: 
Change Healthcare is a leading healthcare technology company. We partner with customers to better engage members and patients, control costs, enhance revenues, and help with clinical operations and care management.",Automation QA Engineer,en,"{
  ""decision"": ""hire"",
  ""feedback"": ""Candidate has 5+ years automation experience, strong JavaScript skills, and familiarity with Docker. Lacks mobile automation but meets core job requirements.""
}
```","{""decision"": ""hire"",  ""feedback"": ""Candidate has 5+ years automation experience, strong JavaScript skills, and familiarity with Docker. Lacks mobile automation but meets core job requirements.""}",hire,"Candidate has 5+ years automation experience, strong JavaScript skills, and familiarity with Docker. Lacks mobile automation but meets core job requirements."
018cfdfa-d7af-565b-9e54-a065759e4d27,28ff2760-e025-525c-b92f-f2dd1bd0867f,"
03/2018 – present
Automation QA
Trinetix (Kyiv, Ukraine)
Responsibilities:
- Writing e2e/API level tests using TypeScript;
- Writing integration tests using C#/javascript;
- Developing and supporting backend for
custom test application;
- Contributing to test framework;
- Working with version control systems (e.g.
GIT);
- Working with tracking systems (e.g.TestRail,
Azure DevOps);
- Working with testing tools (e.g. Browser
DevTools, Fiddler, Postman);
- Working with Azure DevOps;
- Working with AWS.

11/2017 – 03/2018
RPA Developer
Trinetix (Kyiv, Ukraine)
Responsibilities:
- Working with robotic automation tool
(UiPath);
- Developing and implementing bots replacing
manual labour;
- Create reusable processes and/or extensions
for the RPA toolsets;
- Participating in proof of concepts for new RPA
opportunities;
- Decomposing a process into reusable subcomponents;
- Creating custom activities;
- Working with Process Definition Document
(PDD).

05/2016 – 10/2017
System Administrator
Hostpark (Kyiv, Ukraine)
Responsibilities:
- Installing and configuring software, hardware
and networks;
- Monitoring system performance and
troubleshooting.
Работа в международной компании с интересными проектами.","N-iX is looking for a talented   **Automation QA Engineer** who can become a part of our team and contribute new ideas into product development.
Our customer is a market leading provider of Enterprise Architecture (EA), Business Process Analysis (BPA), IT Portfolio Management (ITPM), IT Governance, Risk and Compliance (GRC), IT Service Management (ITSM) and Enterprise Resource Planning Management (ERPM) software and associated services and consultancy. The company is headquartered in London and supplies a global base of blue chip customers across a range of industries. 

**Responsibilities:**
•	Use interpersonal skills to achieve process changes within a Quality team
•	Teamwork at all levels of the project
•	To be good at quickly identifying high level test strategies and problems
•	Create clear and concise Test Cases
•	Design and review API Integration and Functional UI tests
•	Maintain existing and write new automation tests
•	Analyze automation test runs 
•	Work on project of high complexity nature
•	Be responsible for quality of assigned projects and products that will be delivered
•	To be clear and conciseness in oral and written communications with all levels within the team in English
•	To be able to communicate major status of performed activities to the QA Lead in a timely manner
•	Monitor and report on quality trends such as bug churn and tracking the effects of “shift left” practices
•	Maintaining testing best practices (non-automation) within the QA function across 3 teams

**Required skills:**
•	2+ years of enterprise software product quality assurance experience
•	Good knowledge of C# and Automation testing (approaches, when to apply etc)
•	Experience in testing multi-tier web applications
•	Experience in Agile development and Scrum framework
•	Strong understanding of SDLC
•	Understanding of software QA methodologies, tools, and processes
•	Good spoken and written upper - intermediate knowledge of English language
•	Excellent Analytical and Problem-Solving Skills
•	Highly effective communicator and problem solver, ready to work in fact-paced environment 

**As a plus:**
•	Knowledge of Azure DevOps is a good asset
•	Knowledge MS SQL
•	Comfortable with MS Office Applications
•	Experience in performance (response, load, etc…) testing
•	Experience in recording test progress and results
•	Basic Experience of Integration Testing
•	Basic Experience with MS SharePoint
•	Collaborative but decisive personal style

**We offer:**
•	Flexible working hours
•	A competitive salary and good compensation package
•	Possibility of partial remote work
•	Best hardware
•	A masseur and a corporate doctor
•	Healthcare & sport benefits
•	An inspiring and comfy office

**Professional growth:**
•	Challenging tasks and innovative projects
•	Meetups and events for professional development
•	An individual development plan
•	Mentorship program

**Fun:**
•	Corporate events and outstanding parties
•	Exciting team buildings
•	Memorable anniversary presents
•	A fun zone where you can play video games, foosball, ping pong, and more",Automation QA Engineer,en,"{
  ""decision"": ""hire"",
  ""feedback"": ""Strong automation QA experience, C# skills, and Azure DevOps knowledge align well with our requirements. The candidate brings relevant skills and valuable experience to our team.""
}
```","{""decision"": ""hire"",  ""feedback"": ""Strong automation QA experience, C# skills, and Azure DevOps knowledge align well with our requirements. The candidate brings relevant skills and valuable experience to our team.""}",hire,"Strong automation QA experience, C# skills, and Azure DevOps knowledge align well with our requirements. The candidate brings relevant skills and valuable experience to our team."
018cfdfa-d7af-565b-9e54-a065759e4d27,30c6707d-9cee-5374-a337-91f68fb69b65,"
03/2018 – present
Automation QA
Trinetix (Kyiv, Ukraine)
Responsibilities:
- Writing e2e/API level tests using TypeScript;
- Writing integration tests using C#/javascript;
- Developing and supporting backend for
custom test application;
- Contributing to test framework;
- Working with version control systems (e.g.
GIT);
- Working with tracking systems (e.g.TestRail,
Azure DevOps);
- Working with testing tools (e.g. Browser
DevTools, Fiddler, Postman);
- Working with Azure DevOps;
- Working with AWS.

11/2017 – 03/2018
RPA Developer
Trinetix (Kyiv, Ukraine)
Responsibilities:
- Working with robotic automation tool
(UiPath);
- Developing and implementing bots replacing
manual labour;
- Create reusable processes and/or extensions
for the RPA toolsets;
- Participating in proof of concepts for new RPA
opportunities;
- Decomposing a process into reusable subcomponents;
- Creating custom activities;
- Working with Process Definition Document
(PDD).

05/2016 – 10/2017
System Administrator
Hostpark (Kyiv, Ukraine)
Responsibilities:
- Installing and configuring software, hardware
and networks;
- Monitoring system performance and
troubleshooting.
Работа в международной компании с интересными проектами.","Required Skills
Automation QA with a minimum of 3 years’ experience in Automation.
Experience in using JIRA and for bugs triage.
Basic understanding of Docker, Kubernetes, gRPC.
Understanding GraphQL and REST.
Experience with executing automation tests on CI.
Experience in working with cloud-based environments and microservices.
Strong experience in JavaScript and Cypress.
Strong experience in Automating frontend, backend and API testing.
Knowledge of Agile and ability to work in fast-paced environment.

Past experience
Demonstrated track record and proficiency in the points below:
Tested software from End-to-End perspective.
Worked within the team or individually.
Able to prioritise testing within the given time and resources.
Automated testing.
Working with CI/CD practices.
Writing and maintaining test scripts.
Collaborating in small and fast paced teams.
Full knowledge of Bug Life cycle.
Understanding of STLC concept.

More about you
Good level of English.
Willingness to learn and open mind about new technologies.
Confident to operate in a fast-paced environment.
Use a collaborative approach and willingness to engage in an environment of active idea sharing.
Able to learn autonomously.
Use excellent all-round communications skills.

Will be a plus
ISTQB or similar certification in Software Testing.
Development background.
Experience with mobile testing.
Experience with performance, security, and accessibility testing.

We offer
Working with latest cutting-edge technologies.
Disrupting a century old industry in a startup environment.
Opportunity to grow and develop your core skills.
Work with a diverse multicultural team in an agile environment.
Variety of knowledge sharing and self-development opportunities.
Competitive salary.
State of the art, cool, centrally located offices with warm atmosphere, which creates good working conditions.
Opportunity to travel to client offices based in London.
Experience firsthand the squad-chapter-guild workflow model, our version of the Spotify model.

Responsibilities
Being able to write acceptance tests and end to end tests in JavaScript.
Ensure that code quality is maintained throughout the development cycle.
Explain the benefits of automated testing in the Agile methodology to the team.
Actively take part in all team meetings.
Maintain and improve current test frameworks used.
Participate to Chapter meeting and share best practices with other QA engineers.
Collaborate closely with all team members in order to implement best QA practices starting from the earliest stages of development.
Integrate test into software development life cycle, not at the end of the cycle (or after!). The definition of done for each ticket must include adequate tests.
Ensure that developers do not skip unit-tests in favor of other type of test: testing pyramid.
Ensure that developers share the task of writing unit tests so that automated tests are produced by software engineers as well as QA engineers.
Ensure that developers understand the importance of user acceptance tests.
Ensure that developers curate a set of realistic fake data which constitutes the foundations for user acceptance tests.
Understand the difference between types of automated tests and being able to explain to the team.

Help the Head of Product Stream and Technical Owner to:
Plan requirements testing
Ensure that enough time to write automated testing is allowed for developers
Ensure that developers write automated testing
Plan pre release testing",Automation QA Engineer,en,"{
    ""decision"": ""reject"",
    ""feedback"": ""Lacks experience with Cypress, CI execution, microservices, and QA automation tools. Missing Jira experience and JavaScript skills in frontend/backend/API testing critical for this role.""
}
```","{""decision"": ""reject"", ""feedback"": ""Lacks experience with Cypress, CI execution, microservices, and QA automation tools. Missing Jira experience and JavaScript skills in frontend/backend/API testing critical for this role.""}",reject,"Lacks experience with Cypress, CI execution, microservices, and QA automation tools. Missing Jira experience and JavaScript skills in frontend/backend/API testing critical for this role."
029d530a-afc6-5658-8e5b-bbc624896614,97199745-708c-5ebc-a8a5-eed699ad742e,"I've created and managed more than 150+ events and had an experience of leading a team of more than 40 contractors at the same event(including administrators, hosts, tech team, artists etc.). I have huge experience in SMM, content creation, sound and graphics design, video editing and concepts/ideas creation.
10 years of experience in event management, 3 years experience in marketing. Worked at 2 TOP event agencies of Dnipro city as a project manager. Currently working at IT STEP ACADEMY Dnipro as marketing sepcialist.
","Our ideal candidate is ready to take responsibility in the development of a separate product direction and is able to organize the available team resources to bring value to our target audience.

Requirements:
- 3+ years of commercial experience;
- Experience in Outsourcing/Autstaffing companies;
- Ability to build content strategy;
- Google Analytics, Google Ads, Search Console;
- Understanding search engine algorithms and tracking their latest updates;
- Organization of the team and taking responsibility for its results ( you will have a designer and a Lead Gen in your team);
- The desire to construct hypotheses and test their effectiveness;
- Will benefit: experience with e-commerce platforms.

Obligations:
– Assistance in content marketing strategy targeted at driving traffic, engagement, generating leads, delivering sales, retaining customers, and building brand awareness;
– Research the market and identify areas for improvement in the existing content;
– Utilize link-building best practices to promote the content;
– Use marketing analytics tools and web traffic reporting;
– Writing articles for SMM, quality and non-standard / creative descriptions with hooks for clutch and email campaign;
– Generate ideas and create marketing collateral in collaboration with designers, and biz dev team

It’s important to us:
- Analysis of advertising materials, market trends, competitors, conversions;
- Use of non-standard promotion methods;
- Preparation of advertising plans and budgets;
- Collection of statistics through all marketing channels and understanding the full picture of conversions.

If you are looking for:

Continuous professional development,
Stable and high income,
A company that carries social responsibility to employees and society,
Possibility to work in a collective of like-minded people,
Open to ideas and communication TOP management, ц",Marketing Manager,en,"{
    ""decision"": ""reject"",
    ""feedback"": ""Lacks required outsourcing/autstaffing experience; strong event management but insufficient digital marketing and SEO expertise for the role""s specific needs.""
}
```","{""decision"": ""reject"", ""feedback"": ""Lacks required outsourcing/autstaffing experience; strong event management but insufficient digital marketing and SEO expertise for the role's specific needs.""}",reject,Lacks required outsourcing/autstaffing experience; strong event management but insufficient digital marketing and SEO expertise for the role's specific needs.
